Timestamp,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle,,Data from log.data file (Request Time / Requested Resource)
20:49:53,all,5.37,0,21.92,0,0,0,0,0,0,72.7,,Timestamp: Tue Nov 25 20:51:24 2014 Data: ggbjjdhsmqvszkgzwjadnnsyejddyoebvtmvbedrskjfixxrgwrlnnqwvdoxzzxoqszxeozygilmawhkryxtqngnrtsppwhxjdth 
20:49:54,all,5.62,0,21.71,0,0,0,0,0,0,72.66,,Timestamp: Tue Nov 25 20:51:27 2014 Data: unccobrkuwutdrogznwphabekdiddaujfmhkeenljzghsravmlmmpwutvewmfxcsulefygisseaupwmkvzfpotpnjiupfbtxxdah 
20:49:55,all,5.98,0,21.4,0.69,0,0,0,0,0,71.92,,Timestamp: Tue Nov 25 20:51:30 2014 Data: jjjwaunnbnaztygnppkvnayxsubidvgpdskwgmkptermkllmrjojcpjxxbioywgjpvzydhbcnbvscilykzfgieaohnwbwzthpxqk 
20:49:56,all,5.87,0,21.74,0,0,0,0,0,0,72.39,,Timestamp: Tue Nov 25 20:51:33 2014 Data: xarfkrhyldecaosrtslaknbfiovdybupilzpjaldwhddzmeqvtnudihyunleynrgmhgzjmysptrubmyvimhnpffzgzpizimquuwd 
20:49:57,all,6.2,0,21.69,0,0,0,0,0,0,72.12,,Timestamp: Tue Nov 25 20:51:36 2014 Data: tmhsyjkfmhwgpdocanmfgebifstwnjhsfetiljwtogghciiwjagvuxokvkkrwxvpprrbpmuyxjefehfgmzrjwpulhngcjhewmvkt 
20:49:58,all,6.74,0,20.81,0.17,0,0,0,0,0,72.28,,Timestamp: Tue Nov 25 20:51:39 2014 Data: uxlizzbktfrassybxmunngqpnurlggsonghkwzujpmmzphzymyezdeniqnveigfixpfggsmpjzddaizuoiyssefwoamslxzztudr 
20:49:59,all,5.98,0,21.23,0.35,0,0,0,0,0,72.44,,Timestamp: Tue Nov 25 20:51:42 2014 Data: lksswucppfnsxlirviqqeijvsgqbfxowiggtknxjdelcpwpylamezmnqxklmgtzlrlmvgywxtrxfzpwbjkfgkdcfvvggwhpyxdxb 
20:50:00,all,6.98,0,20.76,0,0,0,0,0,0,72.27,,Timestamp: Tue Nov 25 20:51:44 2014 Data: yhretexpkudpyzjstfhfdhdtnrekwzzhvsbitxnwylmcavgcnqfcwziioykyvlusdpjgkbtzltdexhhayqnmyhssaostfbvxgmhf 
20:50:01,all,5.79,0,21.68,0,0,0,0,0,0,72.54,,Timestamp: Tue Nov 25 20:51:47 2014 Data: deaayhtsuuecikbwgwwsayilfaoxmsvkaxjcendffkmrnbhahusqnaqwfugezdhmlmfvlrhjjitayppfmmpcqmzlcqwzgzhvazct 
20:50:02,all,5.98,0,21.4,0.26,0,0,0,0,0,72.36,,Timestamp: Tue Nov 25 20:51:50 2014 Data: enypoyxqsurkzkvhmyeqdjlvydkzfvcwdccyfdwailympqfnouwmqvdaczvqaaardqnexxnoghjysvlovhblbprbamduwfixxaek 
